code,description_en,description_uk,parent_code
CFB,Sociolinguistics,Соціолінгвістика,CF
CFC,Literacy (Theories of reading and writing),Грамотність,CF
CFD,Psycholinguistics and cognitive linguistics,Психолінгвістика та когнітивна лінгвістика,CF
CFDC,Language acquisition,Опанування мови,CFD
CFDM,Bilingualism and multilingualism,Двомовність та багатомовність,CFD
CFF,Historical and comparative linguistics,Порівняльно-історичне мовознавство,CF
CFFD,"Dialect, slang and jargon","Діалект, сленг і жаргон",CFF
CFG,"Semantics, discourse analysis, stylistics","Семантика, дискурс-аналіз, стилістика",CF
CFH,"Phonetics, phonology","Фонетика, фонологія",CF
CFK,"Grammar, syntax and morphology","Граматика, синтаксис і морфологія",CF
CFL,Palaeography,Палеографія,CF
CFLA,"Writing systems, alphabets, scripts","Системи письма, абетки",CFL
CFM,Lexicography,Лексикографія,CF
CFN,Philology,Philology,CF
CFP,Translation and language interpretation,Переклад і тлумачення (інтерпретація),CF
CFX,Computational and corpus linguistics,Математична та корпусна лінгвістика,CF
CFZ,"Sign languages, Braille and other linguistic communication","Жестові мови, шрифт Брайля та інші мовні комунікації",CF
CJ,Language teaching and learning,Викладання та вивчення мови,C
CJA,Language teaching theory and methods,Теорія та методи викладання мови,CJ
CJAB,Language teaching and learning: first or native languages,Викладання та вивчення мови: перша або рідна мова,CJA
CJAD,Language teaching and learning: second or additional languages,Викладання та вивчення мови: друга або додаткова мова,CJA
CJB,Language teaching and learning material and coursework,Викладання та вивчення мови: матеріали та курсові роботи,CJ
CJBC,Language teaching and learning material and coursework: culture / civilisation,Language teaching and learning material and coursework: culture / civilisation,CJB
CJBG,"Language learning: grammar, vocabulary and pronunciation","Вивчення мови: граматика, словниковий запас і вимова",CJB
CJBR,Language readers,Збірники текстів для читання (читанки),CJB
CJBT,Language self-study,Самостійне вивчення мови,CJB
CJC,Language learning: specific skills,Вивчення мови: специфічні навички,CJ
CJCK,Language learning: speaking skills,Вивчення мови: мовленнєві навички,CJC
CJCL,Language learning: listening skills,Вивчення мови: слухові навички,CJC
CJCR,Language learning: reading skills,Вивчення мови: навички читання,CJC
CJCW,Language learning: writing skills,Вивчення мови: навички письма,CJC
CJP,Language learning for specific purposes,Вивчення мови для конкретних цілей,CJ
CJPD,"Language learning for business, professional and vocational",Вивчення мови для ділової та професійної діяльності,CJP
CJPG,"Language learning for academic, technical and scientific purposes","Вивчення мови для академічних, технічних та професійних цілей",CJP
D,"Biography, Literature and Literary studies","Біографія, література та літературознавство",
DB,"Ancient, classical and medieval texts","Стародавні, класичні та середньовічні тексти",D
DBS,Ancient Sagas and epics,Стародавні саги та епічні поеми,DB
DBSG,Ancient Greek and Roman literature,Давньогрецька та давньоримська література,DBS
DBSN,Icelandic and Old Norse sagas,Ісландські та давньоскандинавські саги,DBS
DC,Poetry / Poems,Поезія,D
DCA,Classic poetry / poems,Класична поезія та поезія до 20 століття,DC
DCC,Modern and contemporary poetry / poems,Новітня та сучасна поезія (після 1900 року),DC
DCF,Poetry / poems by individual poets,Поезія окремих поетів,DC
DCQ,Poetry anthologies (various poets),Поетичні антології (різні поети),DC
DCR,Poetry / poems by form or style,Поетична форма,DC
DCRB,Poetry / poems by form or style: Haiku,Поетична форма: хайку,DCR
DCRC,Poetry / poems by form or style: Tanka,Поетична форма: танка,DCR
DCRG,Poetry / poems by form or style: Ghazal,Поетична форма: газель,DCR
DCRH,Poetry / poems by form or style: Calligram,Поетична форма: каліграм,DCR
DCRL,Poetry / poems by form or style: Limerick,Поетична форма: лімерик,DCR
DCRS,Poetry / poems by form or style: Sonnet,Поетична форма: сонет,DCR
DD,"Plays, playscripts, drama","П’єси, сценарії",D
DDA,Classic plays / drama,Класичні п’єси та п’єси до 20 століття,DD
DDC,Modern and contemporary plays / drama,Новітні та сучасні п’єси (1900 рік і далі),DD
DDL,Comedic plays,Комедійні п’єси,DD
DDT,Tragic plays,Трагічні п’єси,DD
DDV,Monologues / Duologues,Монологи / Діалоги,DD
DH,Oral literature,Oral literature,D
DN,Biography and non-fiction prose,Біографії та нехудожня література,D
DNB,Biography: general,Біографії загалом,DN
DNBA,Autobiography: general,Автобіографії загалом,DNB
DNBB,Biography: business and industry,Біографії: бізнес та промисловість,DNB
DNBB1,Autobiography: business and industry,Автобіографії: бізнес та промисловість,DNBB
DNBF,Biography: arts and entertainment,Біографії: мистецтво і розважальний бізнес,DNB
DNBF1,Autobiography: arts and entertainment,Автобіографії: мистецтво і розважальний бізнес,DNBF
DNBG,Biography: social media / internet celebrities,Biography: social media / internet celebrities,DNB
DNBG1,Autobiography: social media / internet celebrities,Autobiography: social media / internet celebrities,DNBG
DNBH,"Biography: historical, political and military","Біографії: історична, політична та військова",DNB
DNBH1,"Autobiography: historical, political and military","Автобіографії: історична, політична та військова",DNBH
DNBL,Biography: writers,Біографії письменників,DNB
DNBL1,Autobiography: writers,Автобіографії письменників,DNBL
DNBM,Biography: philosophy and social sciences,Біографії: філософія та соціальні науки,DNB
DNBM1,Autobiography: philosophy and social sciences,Автобіографії: філософія та соціальні науки,DNBM
DNBP,Biography: adventurers and explorers,Біографії шукачів пригод і дослідників,DNB
DNBP1,Autobiography: adventurers and explorers,Автобіографії шукачів пригод і дослідників,DNBP
DNBR,Biography: royalty,Біографії аристократів (монархів),DNB
DNBR1,Autobiography: royalty,Автобіографії аристократів,DNBR
DNBS,Biography: sport,Біографії спортсменів,DNB
DNBS1,Autobiography: sport,Автобіографії спортсменів,DNBS
DNBT,"Biography: science, technology and medicine","Біографії: наука, техніка та медицина",DNB
DNBT1,"Autobiography: science, technology and medicine","Автобіографії: наука, техніка та медицина",DNBT
DNBX,Biography: religious and spiritual,Біографії релігійних і духовних діячів,DNB
DNBX1,Autobiography: religious and spiritual,Автобіографії релігійних та духовних діячів,DNBX
DNBZ,Collected biographies,Зібрані біографії,DNB
DNC,Memoirs,Мемуари,DN
DND,"Published diaries, letters and journals","Щоденники, листи та журнали",DN
DNG,Animal life stories,Оповідання про життя тварин,DN
DNL,Essays,Літературні нариси,DN
DNP,"Reportage, journalism or collected columns","Репортаж, журналістика та збірки шпальт",DN
DNPB,Interviews / discussions,Interviews / discussions,DNP
DNS,Speeches,Промови,DN
DNT,Anthologies,Антології загалом,DN
DNX,True stories / true accounts of events,Правдиві історії (оповідання) загалом,DN
DNXC,True crime,Кримінальне чтиво (детективи),DNX
DNXC2,True crime: cold cases / long-unsolved crimes,True crime: cold cases / long-unsolved crimes,DNXC
DNXC3,True crime: serial killers and murderers,Кримінальне чтиво: серійні убивці та маньяки,DNXC
DNXH,True stories of discovery,Правдиві історії відкриттів,DNX
DNXM,True war and combat stories,Правдиві історії про війну та битви,DNX
DNXP,"True stories of heroism, endurance and survival","Правдиві історії про героїзм, витривалість івиживання",DNX
DNXR,True stories of survival of abuse and injustice,Правдиві історії виживання серед зловживань і несправедливості,DNX
DNXZ,Erotic confessions and true stories,Еротичні зізнання та правдиві історії,DNX
DS,Literature: history and criticism,Література: історія та критика,D
DSA,Literary theory,Теорія літератури,DS
DSB,Literary studies: general,Загальне літературознавство,DS
DSBB,"Literary studies: ancient, classical and medieval","Літературознавство: античне, класичне та середньовічне",DSB
DSBC,Literary studies: c 1400 to c 1600,Літературознавство: 1400-1600 рр.,DSB
DSBD,Literary studies: c 1600 to c 1800,Літературознавство: 1600-1800 рр.,DSB
DSBF,Literary studies: c 1800 to c 1900,Літературознавство: 1800-1900 рр.,DSB
DSBH,Literary studies: c 1900 to c 2000,Літературознавство: 1900-2000 рр.,DSB
DSBH5,Literary studies: postcolonial literature,Літературознавство: постколоніальна література,DSBH
DSBJ,Literary studies: from c 2000,Літературознавство: після 2000 р.,DSB
DSC,Literary studies: poetry and poets,Літературознавство: поезія та поети,DS
DSG,Literary studies: plays and playwrights,Літературознавство: п’єси та драматурги,DS
DSK,"Literary studies: fiction, novelists and prose writers","Літературознавство: художня література, письменники-романісти та прозаїки",DS
DSM,Comparative literature,Порівняльна література,DS
DSR,Literary reference works,Літературно-довідкові твори,DS
DSRC,"Literary companions, book reviews and guides","Літературні довідники, огляди книг і путівники",DSR
DSY,Children’s and teenage literature studies: general,Загальне літературознавство дитячої та підліткової літератури,DS
DSYC,Children’s and teenage book reviews and guides,Огляди та путівники дитячих та підліткових книг,DSY
F,Fiction,Художня література та супутня інформація,
FB,Fiction: literary and general non-genre,Художня література: жанрова й епістолярна,F
FBA,Modern and contemporary fiction: literary and general,Новітня та сучасна художня література,FB
FBAN,Street fiction / urban fiction,Вулична (міська) художня література,FBA
FBC,Classic fiction: literary and general,Класична художня література,FB
FC,Biographical fiction / autobiographical fiction,Біографічна художня література,F
FD,Speculative fiction,Фантастика,F
FDB,Dystopian and utopian fiction,Утопічна та дистопічна фантастика,FD
FDK,Alternative history fiction,Альтернативна історія (фантастика),FD
FDM,Black Speculative fiction,Афрофутуризм / Чорна фантастика,FD
FDV,Metaphysical / philosophical fiction,Metaphysical / philosophical fiction,FD
FF,Crime and / or mystery fiction,Детектив і кримінальний роман,F
FFC,Classic crime and mystery fiction,Класичний детектив і кримінальний роман,FF
FFD,Crime and mystery: private investigator / amateur detectives,Детектив і кримінальний роман: приватні детективи / детективи-аматори,FF
FFH,Historical crime and mysteries,Історичний детектив і кримінальний роман,FF
FFJ,Crime and mystery: cosy mystery,Детектив і кримінальний роман: іронічний детектив,FF
FFK,Comical (humorous) crime and mystery,Іронічний детектив і кримінальний роман,FF
FFL,"Crime and mystery: hard-boiled crime, noir fiction","Детектив і кримінальний роман: крутий детектив, нуар (чорний роман)",FF
FFP,Crime and mystery: police procedural,Поліцейський детектив і кримінальний роман,FF
FFS,Crime and mystery: women sleuths / detectives,Детектив і кримінальний роман: жінки-злочинці,FF
FG,Sports fiction,Художня література спортивної тематики,F
FH,Thriller / suspense fiction,Трилер / Пригодницька література,F
FHD,Espionage and spy thriller,Шпигунство і шпигунський трилер,FH
FHF,Financial / Corporate thrillers,Financial / Corporate thrillers,FH
FHK,Technothriller,Технотрилер,FH
FHM,Medical thriller,Medical thriller,FH
FHP,Political / legal thriller,Політичний / юридичний трилер,FH
FHQ,Esoteric thriller,Езотеричний трилер,FH
FHR,Thriller: organised crime / gangland crime,Thriller: organised crime / gangland crime,FH
FHS,Thriller: serial killers,Thriller: serial killers,FH
FHT,Thriller: terrorism,Thriller: terrorism,FH
FHX,Psychological thriller,Психологічний трилер,FH
FJ,Adventure / action fiction,Пригодницька література,F
FJD,Martial arts fiction,Martial arts fiction,FJ
FJH,Historical adventure fiction,"Історична, пригодницька література",FJ
FJM,"War, combat and military adventure fiction",Пригодницька література про війну,FJ
FJMC,Napoleonic War fiction,Література про Наполеонівську війну,FJM
FJMF,First World War fiction,Література про Першу світову війну,FJM
FJMS,Second World War fiction,Література про Другу світову війну,FJM
FJMV,Vietnam War fiction,Література про війну у В’єтнамі,FJM
FJN,Sea stories,Маринізм (морська тематика в художній літературі),FJ
FJW,Adventure fiction: Westerns,Пригодницька література: вестерни,FJ
FK,"Horror, ghost stories and supernatural fiction",Жахи та надприродна фантастика,F
FKC,"Classic horror, ghost stories and supernatural fiction",Класичні книги жахів і привидів,FK
FKM,"Contemporary horror, ghost stories and supernatural fiction",Сучасні книги жахів і привидів,FK
FKW,Occult fiction / Paranormal Horror,Окультна література (фантастика),FK
FL,Science fiction,Наукова фантастика,F
FLC,Classic science fiction,Класична наукова фантастика,FL
FLG,Science fiction: time travel / time slip,Наукова фантастика: подорож у часі,FL
FLH,Hard science fiction,Hard science fiction,FL
FLJ,Science Fiction: cosy / cozy,Science Fiction: cosy / cozy,FL
FLM,Science fiction: steampunk,Наукова фантастика: стімпанк,FL
FLP,Science fiction: near future,Наукова фантастика: найближче майбутнє,FL
FLPB,Science fiction: cyberpunk / biopunk,Наукова фантастика: кіберпанк / біопанк,FLP
FLQ,Science fiction: apocalyptic and post-apocalyptic,Наукова фантастика: апокаліптична і постапокаліптична,FL
FLR,Science fiction: military,Бойова наукова фантастика,FL
FLS,Science fiction: space opera,Космічна наукова фантастика,FL
FLU,Science fiction: aliens / UFOs,Наукова фантастика: інопланетяни / НЛО,FL
FLW,Science fiction: space exploration,Наукова фантастика: дослідження космосу,FL
FM,Fantasy,Фентезі,F
FMB,Epic fantasy / high fantasy,Епічне фентезі / героїчне фентезі,FM
FMBN,Heroic fantasy / Sword and sorcery,Heroic fantasy / Sword and sorcery,FMB
FMH,Historical fantasy,Історичне фентезі,FM
FMJ,Fantasy: cosy / cozy,Fantasy: cosy / cozy,FM
FMK,Comic (humorous) fantasy,Гумористичне фентезі,FM
FMM,Magical realism,Магічний реалізм,FM
FMR,Fantasy romance / Romantic fantasy,Фентезі-романтика,FM
FMS,Superhero stories,Superhero stories,FM
FMT,Dark fantasy,Темне фентезі,FM
FMW,Contemporary fantasy / Low fantasy,Сучасне фентезі,FM
FMX,Urban fantasy,Міське фентезі,FM
FN,"Traditional or cultural fiction and true stories, tales and retellings","Легенди, міфи та казки",F
FNF,Fairy and Folk tales / Fairy tale retellings,Казки та народні казки,FN
FNM,Myths and Legends / Mythic fiction,Міфи та легенди,FN
FNT,Trickster stories and tales,Trickster stories and tales,FN
FP,Erotic fiction / Erotica,Еротична література,F
FQ,Contemporary lifestyle fiction,Художня література про сучасний спосіб життя,F
FR,Romance,Романтична література,F
FRB,Romantic comedies,Romantic comedies,FR
FRD,Modern and Contemporary romance,Сучасний любовний роман,FR
FRDJ,Romance: cosy / cozy,Romance: cosy / cozy,FRD
FRE,Romance: workplace,Romance: workplace,FR
FRF,Romance: wholesome / clean,Любовний роман зі щасливим фіналом,FR
FRG,Romance: college / university,Romance: college / university,FR
FRH,Historical romance,Історичний любовний роман,FR
FRJ,"Romance: ‘western’, rural or ‘outback’",«Західний» та «сільський» любовний роман,FR
FRK,Romance: love triangles,Romance: love triangles,FR
FRL,Romance: unlikely or unexpected lovers,Romance: unlikely or unexpected lovers,FR
FRLC,Romance: friends to lovers,Romance: friends to lovers,FRL
FRLE,Romance: enemies to lovers,Romance: enemies to lovers,FRL
FRLF,Romance: fake or pretend relationships,Romance: fake or pretend relationships,FRL
FRLH,Romance: unintentional or forced proximity,Romance: unintentional or forced proximity,FRL
FRM,Romantic suspense,Гостросюжетний любовний роман,FR
FRN,Romance: sports,Romance: sports,FR
FRP,Romance in uniform,Військовий любовний роман (кохання в уніформі),FR
FRQ,Romance: medical,Медичні любовні романи,FR
FRR,Romance: the rich / famous / powerful,Romance: the rich / famous / powerful,FR
